Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Moisture,pH_Value,Rainfall,Crop,Soil_Type,Variety,Fertilizer
12.00,13.00,10.00,26.00,52.00,35.00,N/A,N/A,Barley,Sandy,N/A,17-17-17
21.00,19.00,0.00,25.00,50.00,39.00,N/A,N/A,Barley,Sandy,N/A,28-28
7.00,30.00,9.00,36.00,68.00,38.00,N/A,N/A,Barley,Sandy,N/A,14-35-14
10.00,35.00,0.00,35.00,67.00,42.00,N/A,N/A,Barley,Sandy,N/A,DAP
12.00,42.00,0.00,30.00,60.00,47.00,N/A,N/A,Barley,Sandy,N/A,DAP
5.00,15.00,18.00,28.00,54.00,47.00,N/A,N/A,Barley,Sandy,N/A,10-26-26
21.00,28.00,0.00,31.00,62.00,44.00,N/A,N/A,Barley,Sandy,N/A,28-28
11.00,12.00,5.00,26.02,52.46,31.12,N/A,N/A,Barley,Loamy,N/A,10-26-26
38.00,1.00,0.00,24.24,59.04,50.07,N/A,N/A,Barley,Loamy,N/A,Urea
15.00,33.00,0.00,32.19,68.94,67.37,N/A,N/A,Barley,Sandy,N/A,20-20
11.00,14.00,3.00,23.42,53.65,69.68,N/A,N/A,Barley,Sandy,N/A,20-20
12.00,30.00,6.00,26.75,56.87,20.00,N/A,N/A,Barley,Clayey,N/A,17-17-17
13.00,35.00,0.00,31.52,44.64,42.86,N/A,N/A,Barley,Red,N/A,28-28
12.00,37.00,0.00,31.90,55.45,59.87,N/A,N/A,Barley,Sandy,N/A,14-35-14
9.00,35.00,0.00,31.56,55.15,56.80,N/A,N/A,Barley,Red,N/A,DAP
11.00,14.00,0.00,34.15,63.96,47.64,N/A,N/A,Barley,Red,N/A,14-35-14
20.00,19.00,0.00,30.20,51.16,32.50,N/A,N/A,Barley,Red,N/A,DAP
17.00,20.00,0.00,29.73,58.67,29.64,N/A,N/A,Barley,Red,N/A,17-17-17
18.00,42.00,0.00,21.92,53.00,33.57,N/A,N/A,Barley,Black,N/A,17-17-17
6.00,13.00,2.00,27.77,42.89,59.10,N/A,N/A,Barley,Red,N/A,Urea
15.00,45.00,4.00,37.27,64.08,36.28,N/A,N/A,Barley,Red,N/A,20-20
16.00,38.00,0.00,33.71,59.42,29.32,N/A,N/A,Barley,Black,N/A,14-35-14
8.00,18.00,22.00,30.61,66.36,42.09,N/A,N/A,Barley,Red,N/A,DAP
18.00,45.00,0.00,26.91,44.27,23.76,N/A,N/A,Barley,Loamy,N/A,10-26-26
37.00,0.00,4.00,31.98,55.89,57.60,N/A,N/A,Barley,Red,N/A,17-17-17
40.00,0.00,4.00,32.61,54.79,70.00,N/A,N/A,Barley,Black,N/A,Urea
40.00,0.00,3.00,23.88,57.05,35.25,N/A,N/A,Barley,Loamy,N/A,20-20
3.00,31.00,4.00,39.68,75.02,51.69,N/A,N/A,Barley,Clayey,N/A,14-35-14
38.00,0.00,0.00,36.29,71.00,56.12,N/A,N/A,Barley,Black,N/A,DAP
10.00,42.00,2.00,37.61,61.11,36.72,N/A,N/A,Barley,Loamy,N/A,Urea
21.00,22.00,0.00,36.02,69.03,54.45,N/A,N/A,Barley,Sandy,N/A,20-20
25.00,22.00,0.00,30.78,50.30,52.95,N/A,N/A,Barley,Clayey,N/A,20-20
23.00,22.00,2.00,31.26,67.75,26.57,N/A,N/A,Barley,Black,N/A,Urea
9.00,10.00,0.00,27.41,52.54,41.48,N/A,N/A,Barley,Black,N/A,Urea
18.00,29.00,0.00,27.61,71.93,41.84,N/A,N/A,Barley,Red,N/A,17-17-17
10.00,17.00,0.00,36.71,76.20,24.17,N/A,N/A,Barley,Sandy,N/A,14-35-14
34.00,1.00,2.00,30.18,68.42,36.95,N/A,N/A,Barley,Clayey,N/A,17-17-17
18.00,33.00,0.00,33.71,58.93,43.88,N/A,N/A,Barley,Loamy,N/A,DAP
9.00,32.00,9.00,25.30,51.45,24.59,N/A,N/A,Barley,Sandy,N/A,17-17-17
6.00,13.00,12.00,25.28,55.82,32.12,N/A,N/A,Barley,Clayey,N/A,10-26-26
28.00,14.00,0.00,26.95,50.63,43.00,N/A,N/A,Barley,Sandy,N/A,10-26-26
19.00,40.00,0.00,28.88,60.85,28.57,N/A,N/A,Barley,Clayey,N/A,10-26-26
44.00,2.00,0.00,25.65,62.92,28.49,N/A,N/A,Barley,Sandy,N/A,14-35-14
10.00,14.00,0.00,30.18,53.72,36.61,N/A,N/A,Barley,Red,N/A,17-17-17
4.00,29.00,4.00,34.72,67.85,69.81,N/A,N/A,Barley,Loamy,N/A,Urea
39.00,1.00,1.00,30.53,63.85,56.30,N/A,N/A,Barley,Sandy,N/A,20-20
10.00,19.00,17.00,21.74,44.09,59.39,N/A,N/A,Barley,Sandy,N/A,Urea
13.00,40.00,0.00,34.07,60.31,40.04,N/A,N/A,Barley,Red,N/A,20-20
10.00,33.00,0.00,31.49,71.13,61.76,N/A,N/A,Barley,Black,N/A,28-28
3.00,29.00,3.00,31.13,73.30,29.78,N/A,N/A,Barley,Loamy,N/A,DAP
10.00,45.00,0.00,33.59,54.60,51.90,N/A,N/A,Barley,Loamy,N/A,Urea
14.00,9.00,0.00,30.34,64.88,34.89,N/A,N/A,Barley,Sandy,N/A,17-17-17
44.00,4.00,0.00,29.61,55.37,42.37,N/A,N/A,Barley,Clayey,N/A,10-26-26
12.00,41.00,1.00,39.34,73.55,37.74,N/A,N/A,Barley,Sandy,N/A,10-26-26
10.00,9.00,0.00,26.51,60.56,35.77,N/A,N/A,Barley,Loamy,N/A,DAP
10.00,35.00,0.00,32.12,70.24,29.28,N/A,N/A,Barley,Red,N/A,20-20
31.00,1.00,1.00,26.71,59.61,29.75,N/A,N/A,Barley,Sandy,N/A,28-28
