,Nitrogen,Phosphorus,Kalium,Temperature,Crop,Crop(ID),Soil_Type,Soil_Type(ID)
0,12.0,13.0,10.0,26.0,Barley,Jelai,Sandy,Berpasir
1,21.0,19.0,0.0,25.0,Barley,Jelai,Sandy,Berpasir
2,7.0,30.0,9.0,36.0,Barley,Jelai,Sandy,Berpasir
3,10.0,35.0,0.0,35.0,Barley,Jelai,Sandy,Berpasir
4,12.0,42.0,0.0,30.0,Barley,Jelai,Sandy,Berpasir
5,5.0,15.0,18.0,28.0,Barley,Jelai,Sandy,Berpasir
6,21.0,28.0,0.0,31.0,Barley,Jelai,Sandy,Berpasir
7,11.0,12.0,5.0,26.02,Barley,Jelai,Loamy,Lempung Berpasir
8,38.0,1.0,0.0,24.24,Barley,Jelai,Loamy,Lempung Berpasir
9,15.0,33.0,0.0,32.19,Barley,Jelai,Sandy,Berpasir
10,11.0,14.0,3.0,23.42,Barley,Jelai,Sandy,Berpasir
11,12.0,30.0,6.0,26.75,Barley,Jelai,Clayey,Lempung
12,13.0,35.0,0.0,31.52,Barley,Jelai,Red,Merah
13,12.0,37.0,0.0,31.9,Barley,Jelai,Sandy,Berpasir
14,9.0,35.0,0.0,31.56,Barley,Jelai,Red,Merah
15,11.0,14.0,0.0,34.15,Barley,Jelai,Red,Merah
16,20.0,19.0,0.0,30.2,Barley,Jelai,Red,Merah
17,17.0,20.0,0.0,29.73,Barley,Jelai,Red,Merah
18,18.0,42.0,0.0,21.92,Barley,Jelai,Black,Hitam
19,6.0,13.0,2.0,27.77,Barley,Jelai,Red,Merah
20,15.0,45.0,4.0,37.27,Barley,Jelai,Red,Merah
21,16.0,38.0,0.0,33.71,Barley,Jelai,Black,Hitam
22,8.0,18.0,22.0,30.61,Barley,Jelai,Red,Merah
23,18.0,45.0,0.0,26.91,Barley,Jelai,Loamy,Lempung Berpasir
24,37.0,0.0,4.0,31.98,Barley,Jelai,Red,Merah
25,40.0,0.0,4.0,32.61,Barley,Jelai,Black,Hitam
26,40.0,0.0,3.0,23.88,Barley,Jelai,Loamy,Lempung Berpasir
27,3.0,31.0,4.0,39.68,Barley,Jelai,Clayey,Lempung
28,38.0,0.0,0.0,36.29,Barley,Jelai,Black,Hitam
29,10.0,42.0,2.0,37.61,Barley,Jelai,Loamy,Lempung Berpasir
30,21.0,22.0,0.0,36.02,Barley,Jelai,Sandy,Berpasir
31,25.0,22.0,0.0,30.78,Barley,Jelai,Clayey,Lempung
32,23.0,22.0,2.0,31.26,Barley,Jelai,Black,Hitam
33,9.0,10.0,0.0,27.41,Barley,Jelai,Black,Hitam
34,18.0,29.0,0.0,27.61,Barley,Jelai,Red,Merah
35,10.0,17.0,0.0,36.71,Barley,Jelai,Sandy,Berpasir
36,34.0,1.0,2.0,30.18,Barley,Jelai,Clayey,Lempung
37,18.0,33.0,0.0,33.71,Barley,Jelai,Loamy,Lempung Berpasir
38,9.0,32.0,9.0,25.3,Barley,Jelai,Sandy,Berpasir
