age,education,marital-status,occupation,relationship,capital-gain,capital-loss,hours-per-week,income
21,0,0,0,0,0,0,40,0
49,1,1,1,1,0,0,44,0
40,0,1,2,2,0,0,40,0
45,2,0,1,2,0,0,48,0
32,3,0,3,1,0,0,40,0
23,1,2,1,0,0,0,40,0
26,3,3,3,3,0,0,40,0
35,0,1,0,2,0,0,40,0
64,1,3,2,3,0,0,35,0
34,2,0,3,1,0,0,40,0
31,1,0,1,1,0,0,40,0
35,1,3,0,3,0,0,40,0
38,3,0,2,1,0,0,48,0
33,0,1,2,2,0,0,40,0
27,0,3,0,3,2885,0,40,0
27,2,3,1,4,0,0,35,0
21,1,0,0,1,0,0,45,0
22,4,0,0,1,0,0,40,0
32,2,3,0,3,0,0,40,0
31,0,3,1,4,0,0,40,0
24,1,0,3,1,0,0,35,0
21,0,0,3,1,0,0,47,0
36,1,3,0,3,0,0,45,0
43,0,3,0,3,0,0,40,0
52,5,3,2,3,0,0,48,0
26,1,0,2,0,0,0,45,0
28,0,0,3,1,0,0,40,0
24,3,0,1,0,0,0,40,0
67,5,3,0,3,10566,0,40,0
37,0,1,0,1,0,0,50,0
52,0,1,1,2,0,0,40,0
19,4,0,4,5,0,0,40,0
40,4,4,1,2,0,0,40,0
34,1,3,2,3,0,0,50,0
33,2,3,3,3,0,0,50,0
37,4,0,0,1,0,0,40,0
31,0,0,2,2,0,0,40,0
31,0,0,0,1,0,0,40,0
50,3,3,1,3,0,0,50,0
60,0,3,2,4,0,0,40,0
41,0,1,1,2,0,0,40,0
30,4,1,1,2,0,653,40,0
23,1,0,4,0,0,0,35,0
51,2,1,2,1,0,0,40,0
20,0,3,0,3,0,0,40,0
33,0,1,1,1,0,0,40,0
22,2,0,2,5,0,0,40,0
62,4,3,0,3,0,0,40,0
30,1,3,2,4,0,0,40,0
22,1,0,1,0,0,0,40,0
26,0,3,2,3,0,0,40,0
41,1,1,1,1,0,0,38,0
33,0,0,0,1,0,0,40,0
49,5,3,0,3,2407,0,50,0
32,3,3,1,3,0,0,40,0
58,4,0,2,1,0,0,40,0
37,0,1,1,2,0,0,40,0
19,0,0,0,0,0,0,40,0
23,4,3,2,3,0,0,40,0
24,1,0,1,1,0,0,35,0
63,0,4,3,1,0,0,40,0
33,0,0,1,2,0,0,40,0
25,0,1,0,1,0,0,40,0
43,0,3,0,3,0,0,40,0
56,0,3,0,3,0,0,40,0
25,1,0,1,1,0,0,45,0
24,0,3,0,3,0,0,42,0
46,4,1,3,2,0,0,40,0
39,0,3,4,4,0,0,50,0
32,1,0,2,1,0,0,34,0
73,4,4,1,2,0,0,40,0
24,1,3,1,4,0,0,45,0
55,3,3,2,5,0,0,35,0
50,1,1,0,1,0,0,40,0
25,3,0,3,1,0,0,45,0
29,0,0,2,5,0,0,40,0
39,3,3,3,3,0,0,45,0
43,5,3,0,3,0,0,40,0
32,1,0,1,1,0,0,40,0
26,0,1,0,0,0,0,40,0
20,1,0,2,0,0,0,37,0
30,0,3,0,3,0,0,35,0
25,1,1,1,0,0,0,40,0
48,1,1,3,1,0,0,52,0
30,4,0,1,0,0,0,40,0
26,1,0,0,1,0,0,40,0
26,5,0,0,1,0,0,40,0
39,0,0,1,1,0,0,45,0
24,1,0,0,0,0,0,40,0
59,2,1,1,1,0,0,40,0
31,3,0,4,1,0,0,45,0
31,1,3,1,3,0,0,40,0
30,3,3,3,3,0,1740,45,0
29,4,1,1,1,0,2754,42,0
33,0,3,0,3,0,0,35,0
73,5,3,4,3,0,0,40,0
27,4,0,0,2,0,0,40,0
36,0,1,3,1,0,0,40,0
23,4,3,0,3,0,0,40,0
58,0,1,1,1,0,0,42,0
46,2,1,0,2,0,0,40,0
46,0,3,0,3,0,0,40,0
27,4,3,0,3,0,0,40,0
23,2,0,3,1,0,0,50,0
33,3,0,1,1,0,0,40,0
24,3,0,3,1,0,0,40,0
25,0,3,0,3,0,0,40,0
48,1,3,0,3,2407,0,40,0
37,0,1,0,1,0,0,40,0
36,0,1,0,2,0,0,40,0
27,0,3,2,4,0,0,40,0
36,4,1,0,2,0,0,40,0
25,4,3,0,3,0,0,40,0
38,3,1,1,2,1151,0,40,0
28,0,0,0,0,0,0,40,0
21,0,0,0,0,0,0,40,0
30,1,0,1,1,0,0,40,0
47,0,1,3,1,0,0,40,0
39,1,2,1,2,0,0,40,0
42,1,1,1,2,0,0,35,0
30,0,1,3,0,0,0,40,0
43,6,1,2,2,0,0,40,0
28,6,0,3,1,0,0,40,0
27,0,3,0,3,0,0,40,0
64,2,3,0,3,0,0,48,0
31,2,0,1,1,0,0,45,0
67,1,3,4,3,0,0,44,0
46,0,1,0,1,0,0,40,0
41,0,3,0,3,0,0,45,0
37,1,3,0,3,0,0,45,0
41,0,0,1,0,0,0,40,0
25,2,0,1,1,0,0,40,0
28,6,0,3,1,0,0,40,0
49,0,4,1,1,0,0,40,0
59,0,3,2,5,0,0,40,0
48,0,3,0,3,0,0,40,0
30,3,3,2,3,0,0,40,0
40,0,0,0,1,0,0,40,0
50,0,4,0,2,0,0,40,0
22,1,0,4,1,0,0,40,0
54,5,1,1,1,0,0,40,0
54,1,3,2,3,0,0,52,0
33,6,0,3,2,0,0,40,0
46,2,1,0,2,0,0,40,0
24,3,0,1,1,0,0,45,0
18,0,0,1,0,0,0,35,0
31,3,0,1,1,0,0,40,0
44,1,1,1,1,0,0,40,0
20,4,0,2,0,0,0,35,0
38,0,3,3,3,0,0,50,0
40,1,3,0,3,0,0,40,0
55,1,0,1,1,0,0,45,0
39,1,0,2,0,0,2205,40,0
55,0,1,1,2,0,0,40,0
41,5,3,1,3,0,0,50,0
22,0,1,0,1,0,0,40,0
24,3,0,3,0,0,0,50,0
25,1,0,0,1,0,0,40,0
61,5,3,0,3,0,0,40,0
30,3,0,1,1,0,0,40,0
40,4,3,0,3,0,0,40,0
42,0,1,1,1,0,0,40,0
31,0,3,1,3,0,0,40,0
33,2,3,1,3,0,0,40,0
62,3,3,3,3,0,0,40,0
41,0,1,0,2,7443,0,40,0
37,2,0,2,0,0,0,40,0
28,0,3,1,3,0,0,40,0
36,0,1,1,2,0,0,35,0
34,0,1,1,0,0,0,40,0
43,1,3,0,3,0,0,42,0
37,0,3,0,3,0,0,40,0
22,3,0,1,0,0,0,40,0
39,0,1,2,2,0,0,40,0
28,0,3,0,3,2580,0,40,0
34,1,1,3,1,0,0,50,0
32,0,0,0,1,0,0,40,0
40,0,1,0,1,0,0,45,0
33,0,0,2,1,0,0,40,0
40,1,3,0,3,0,0,44,0
37,0,0,1,2,0,0,40,0
27,1,0,0,0,0,0,40,0
37,3,0,3,0,0,0,40,0
31,1,0,1,1,0,0,40,0
28,1,0,1,1,0,0,40,0
44,3,0,1,1,0,0,40,0
62,1,4,2,2,0,0,40,0
39,3,3,3,3,0,0,40,0
36,0,3,0,3,0,0,33,0
24,1,0,1,0,0,0,40,0
33,6,3,3,3,0,0,40,0
41,5,3,2,3,0,0,43,0
22,0,0,1,0,0,0,40,0
41,0,0,1,0,0,0,40,0
49,0,3,1,3,0,0,40,0
52,0,1,0,1,0,0,40,0
27,1,3,1,3,0,0,45,0
58,0,3,1,4,0,0,38,0
28,5,0,0,1,0,0,45,0
66,0,4,1,5,0,0,35,0
42,2,0,1,1,0,0,46,0
25,1,0,2,1,2174,0,40,0
58,0,1,2,1,0,0,35,0
44,3,3,1,3,0,0,40,0
31,1,0,0,1,0,0,40,0
47,0,1,1,2,0,0,38,0
41,1,3,1,3,2829,0,40,0
43,0,0,0,1,0,0,45,0
46,0,3,1,3,0,0,40,0
34,3,3,3,4,0,0,50,0
42,3,3,3,3,0,0,40,0
33,1,1,1,2,0,0,40,0
47,5,3,0,3,0,0,40,0
28,0,3,0,3,0,0,40,0
22,0,0,3,1,0,0,40,0
30,3,3,3,3,0,0,45,0
43,4,3,0,3,0,0,40,0
43,0,3,0,3,0,0,44,0
30,2,2,1,1,0,0,40,0
43,0,1,2,2,0,0,40,0
33,3,0,0,1,0,2001,40,0
30,6,1,3,2,0,1726,40,0
28,3,0,3,1,0,0,50,0
28,0,0,0,5,0,0,38,0
47,1,3,1,4,0,0,40,0
34,5,3,0,3,0,0,40,0
41,0,1,0,0,0,0,40,0
39,0,3,3,3,0,0,45,0
35,3,3,1,3,0,0,40,0
48,2,0,2,2,0,0,48,0
42,6,1,3,2,1151,0,40,0
29,0,3,0,3,0,0,50,0
21,0,0,1,1,4865,0,40,0
47,1,4,1,2,0,0,40,0
37,1,3,3,5,0,0,40,0
40,0,3,2,3,0,0,40,0
32,1,3,0,3,0,0,40,0
30,1,1,2,2,0,0,40,0
31,3,3,4,3,0,0,45,0
30,0,1,0,1,0,0,40,0
51,0,1,1,1,0,1741,40,0
65,3,1,1,1,0,0,40,0
22,3,0,3,1,0,0,40,0
38,3,1,1,2,0,0,40,0
27,2,0,1,5,0,0,36,0
56,0,3,0,3,0,0,40,0
27,5,1,0,2,0,974,40,0
48,0,1,1,2,0,0,45,0
31,1,3,0,3,0,0,45,0
31,3,1,3,1,0,0,40,0
35,0,3,0,3,0,0,40,0
38,2,1,1,1,0,0,36,0
25,0,3,0,3,0,0,40,0
17,4,0,1,0,0,0,40,0
32,0,3,0,3,0,0,40,0
43,1,0,2,1,0,0,40,0
43,4,3,0,3,0,0,40,0
31,0,3,0,4,0,0,45,0
23,0,3,0,3,0,0,50,0
44,0,3,0,3,0,0,40,0
39,2,0,3,1,0,0,42,0
33,1,3,0,3,0,0,39,0
57,0,1,1,2,0,0,40,0
40,3,0,3,1,0,0,40,0
19,1,0,3,0,0,0,40,0
34,0,0,1,0,0,0,40,0
37,3,1,2,1,0,0,40,0
47,4,3,1,3,0,2179,52,0
38,0,3,0,3,0,1740,40,0
35,3,0,1,5,0,0,40,0
24,1,3,3,3,0,0,50,0
46,5,0,0,0,0,0,40,0
64,1,3,3,3,0,1421,35,0
45,4,3,0,3,0,0,40,0
37,2,1,3,2,0,0,38,0
25,0,0,1,0,2174,0,40,0
25,2,0,0,1,0,0,40,0
51,1,3,1,4,0,0,40,0
32,5,0,4,1,0,0,50,0
62,6,0,0,1,4650,0,40,0
29,3,0,2,1,0,0,35,0
27,1,0,0,0,0,0,40,0
39,0,1,2,0,0,0,40,0
31,1,3,0,3,0,0,45,0
39,0,0,0,2,0,0,48,0
41,2,1,1,1,3325,0,40,0
24,3,3,3,3,0,0,45,0
36,1,1,0,2,0,0,40,0
30,1,1,3,2,0,0,50,0
56,3,1,3,2,0,1741,40,0
36,1,0,1,2,0,0,40,0
41,3,1,3,2,0,0,35,0
26,0,0,0,0,0,0,40,0
30,5,3,0,3,0,0,40,0
63,3,3,1,3,0,0,40,0
56,1,0,1,1,0,0,38,0
21,0,0,0,0,0,0,40,0
42,3,1,3,2,0,0,40,0
34,4,0,2,0,0,0,40,0
30,3,0,3,5,0,0,45,0
30,2,0,1,1,0,0,40,0
40,6,0,3,1,0,0,40,0
33,5,2,4,2,0,0,40,0
33,0,3,0,4,0,0,40,0
37,1,1,2,2,0,0,48,0
34,4,0,2,2,0,0,40,0
41,4,1,0,1,0,0,40,0
23,1,0,1,1,0,0,40,0
22,1,0,2,0,0,0,40,0
30,1,3,1,3,0,1672,45,0
39,0,0,5,1,0,0,50,0
19,1,0,2,5,0,0,42,0
33,1,0,1,1,0,0,40,0
50,0,3,0,3,0,0,50,0
32,1,0,4,0,0,0,40,0
35,1,1,1,2,0,0,40,0
44,6,1,3,2,0,0,40,0
56,0,3,0,3,0,0,40,0
41,0,3,0,3,0,0,40,0
31,0,0,0,2,0,0,40,0
26,2,0,3,0,0,0,40,0
30,4,3,4,3,0,0,40,0
47,0,0,1,5,0,0,40,0
29,2,0,3,1,0,0,40,0
34,0,0,4,1,0,0,40,0
49,0,3,3,3,0,0,45,0
44,1,1,2,2,0,0,35,0
42,1,0,0,2,0,0,40,0
38,1,0,1,1,0,0,40,0
31,1,0,1,1,0,0,40,0
24,4,3,1,3,0,0,45,0
34,4,1,1,0,0,0,37,0
34,0,3,0,4,0,0,40,0
63,0,3,0,3,0,0,48,0
33,0,3,0,3,0,0,43,0
43,2,3,2,3,0,0,40,0
52,0,1,2,1,0,0,38,0
40,1,1,0,1,0,0,40,0
43,0,3,0,3,3908,0,40,0
45,0,1,1,2,0,0,40,0
65,1,3,4,3,0,0,40,0
50,0,0,1,1,0,0,40,0
26,0,0,0,1,0,0,40,0
65,0,3,3,3,0,0,40,0
53,0,1,0,1,0,0,35,0
43,0,3,0,3,0,0,40,0
48,5,3,0,3,0,0,40,0
68,1,1,1,5,2346,0,40,0
